date,min,max,normal_min,normal_max
19480906,105.0,61.0,97.7,74.9
19480907,104.0,60.0,97.4,74.5
19480908,103.0,64.0,97.1,74.2
19480909,106.0,62.0,96.7,73.8
19480910,106.0,61.0,96.4,73.5
19480911,107.0,62.0,96.0,73.1
19480912,108.0,66.0,95.7,72.7
19480913,109.0,62.0,95.3,72.3
19480914,106.0,62.0,94.9,71.9
19480915,103.0,68.0,94.5,71.5
19480916,90.0,72.0,94.1,71.1
19480917,92.0,70.0,93.7,70.7
19480918,92.0,64.0,93.3,70.3
19480919,90.0,56.0,92.8,69.9
19480920,94.0,57.0,92.4,69.4
19480921,96.0,54.0,92.0,69.0
19480922,92.0,61.0,91.5,68.6
19480923,93.0,56.0,91.1,68.1
19480924,84.0,63.0,90.6,67.7
19480925,72.0,50.0,90.1,67.2
19480926,81.0,45.0,89.7,66.8
19480927,90.0,43.0,89.2,66.3
19480928,94.0,52.0,88.8,65.9
19480929,95.0,52.0,88.3,65.5
19480930,94.0,63.0,87.8,65.0
19481001,95.0,58.0,87.4,64.6
19481002,97.0,56.0,86.9,64.1
19481003,96.0,59.0,86.4,63.7
19481004,90.0,66.0,86.0,63.3
19481005,90.0,56.0,85.5,62.9
19481006,83.0,61.0,85.1,62.4
19481007,88.0,49.0,84.6,62.0
19481008,93.0,52.0,84.1,61.6
19481009,94.0,50.0,83.7,61.2
19481010,92.0,48.0,83.2,60.8
19481011,88.0,49.0,82.8,60.4
19481012,87.0,51.0,82.3,60.0
19481013,89.0,60.0,81.9,59.6
19481014,82.0,56.0,81.5,59.2
19481015,83.0,52.0,81.0,58.8
19481016,86.0,49.0,80.6,58.4
19481017,83.0,58.0,80.1,58.0
19481018,75.0,48.0,79.7,57.6
19481019,78.0,41.0,79.3,57.3
19481020,85.0,46.0,78.8,56.9
19481021,89.0,43.0,78.4,56.5
19481022,88.0,44.0,77.9,56.1
19481023,86.0,47.0,77.5,55.8
19481024,86.0,45.0,77.1,55.4
19481025,86.0,45.0,76.6,55.0
19481026,82.0,47.0,76.2,54.6
19481027,80.0,42.0,75.7,54.2
19481028,69.0,44.0,75.3,53.9
19481029,70.0,38.0,74.8,53.5
19481030,60.0,47.0,74.3,53.1
19481031,75.0,39.0,73.9,52.7
19481101,75.0,40.0,73.4,52.3
19481102,77.0,48.0,72.9,51.9
19481103,78.0,49.0,72.5,51.5
19481104,64.0,46.0,72.0,51.1
19481105,66.0,32.0,71.5,50.7
19481106,71.0,30.0,71.0,50.3
19481107,70.0,38.0,70.5,49.9
19481108,58.0,39.0,70.0,49.5
19481109,64.0,27.0,69.5,49.1
19481110,64.0,27.0,69.0,48.7
19481111,65.0,40.0,68.5,48.3
19481112,67.0,33.0,68.0,47.8
19481113,74.0,32.0,67.5,47.4
19481114,75.0,33.0,67.0,47.0
19481115,71.0,33.0,66.5,46.6
19481116,68.0,32.0,66.0,46.2
19481117,68.0,34.0,65.5,45.8
19481118,57.0,37.0,65.0,45.4
19481119,61.0,28.0,64.5,45.0
19481120,62.0,25.0,64.0,44.6
19481121,61.0,39.0,63.5,44.2
19481122,63.0,36.0,63.0,43.8
19481123,68.0,32.0,62.5,43.4
19481124,64.0,31.0,62.1,43.1
19481125,66.0,36.0,61.6,42.7
19481126,61.0,26.0,61.2,42.4
19481127,54.0,31.0,60.8,42.0
19481128,57.0,22.0,60.4,41.7
19481129,65.0,21.0,60.0,41.4
19481130,63.0,22.0,59.6,41.1
19481201,59.0,32.0,59.2,40.8
19481202,59.0,24.0,58.9,40.5
19481203,66.0,23.0,58.5,40.3
19481204,50.0,24.0,58.2,40.0
19481205,51.0,18.0,57.9,39.8
19481206,59.0,25.0,57.7,39.6
19481207,54.0,21.0,57.4,39.4
19481208,61.0,24.0,57.2,39.2
19481209,63.0,25.0,56.9,39.0
19481210,65.0,29.0,56.7,38.8
19481211,63.0,29.0,56.6,38.7
19481212,56.0,30.0,56.4,38.6
19481213,70.0,40.0,56.2,38.5
19481214,58.0,39.0,56.1,38.4
19481215,,,56.0,38.3
19481216,,,55.9,38.2
19481217,,,55.9,38.1
19481218,,,55.8,38.1
19481219,54.0,25.0,55.8,38.1
19481220,54.0,24.0,55.8,38.0
19481221,48.0,26.0,55.7,38.0
19481222,46.0,34.0,55.8,38.0
19481223,44.0,25.0,55.8,38.0
19481224,44.0,18.0,55.8,38.0
19481225,44.0,17.0,55.9,38.1
19481226,56.0,34.0,55.9,38.1
19481227,50.0,33.0,56.0,38.1
19481228,53.0,31.0,56.0,38.2
19481229,50.0,26.0,56.1,38.2
19481230,51.0,32.0,56.2,38.3
19481231,49.0,30.0,56.3,38.3
19490101,48.0,25.0,56.4,38.4
19490102,40.0,26.0,56.5,38.4
19490103,33.0,22.0,56.6,38.5
19490104,35.0,19.0,56.7,38.5
19490105,42.0,16.0,56.8,38.6
19490106,50.0,20.0,56.9,38.7
19490107,50.0,22.0,57.0,38.7
19490108,49.0,21.0,57.2,38.8
19490109,44.0,26.0,57.3,38.9
19490110,35.0,20.0,57.4,38.9
19490111,36.0,24.0,57.5,39.0
19490112,39.0,30.0,57.6,39.1
19490113,42.0,30.0,57.7,39.1
19490114,42.0,24.0,57.8,39.2
19490115,40.0,20.0,57.9,39.3
19490116,38.0,29.0,58.0,39.3
19490117,36.0,20.0,58.1,39.4
19490118,40.0,20.0,58.2,39.5
19490119,35.0,25.0,58.3,39.5
19490120,40.0,32.0,58.4,39.6
19490121,46.0,32.0,58.5,39.7
19490122,52.0,36.0,58.6,39.8
19490123,43.0,28.0,58.7,39.9
19490124,41.0,26.0,58.8,40.0
19490125,35.0,26.0,58.9,40.1
19490126,39.0,20.0,59.0,40.1
19490127,39.0,17.0,59.1,40.3
19490128,42.0,20.0,59.3,40.4
19490129,41.0,21.0,59.4,40.5
19490130,39.0,18.0,59.5,40.6
19490131,41.0,19.0,59.6,40.7
19490201,39.0,20.0,59.8,40.8
19490202,42.0,26.0,59.9,41.0
19490203,47.0,25.0,60.1,41.1
19490204,43.0,23.0,60.2,41.3
19490205,46.0,28.0,60.4,41.4
19490206,43.0,22.0,60.5,41.6
19490207,54.0,36.0,60.7,41.8
19490208,45.0,25.0,60.9,42.0
19490209,50.0,22.0,61.1,42.1
19490210,49.0,23.0,61.3,42.3
19490211,63.0,30.0,61.5,42.5
19490212,46.0,26.0,61.7,42.7
19490213,42.0,20.0,61.9,42.9
19490214,46.0,18.0,62.2,43.2
19490215,50.0,22.0,62.4,43.4
19490216,57.0,24.0,62.6,43.6
19490217,63.0,27.0,62.9,43.8
19490218,64.0,30.0,63.2,44.1
19490219,64.0,30.0,63.4,44.3
19490220,68.0,34.0,63.7,44.5
19490221,66.0,36.0,64.0,44.8
19490222,69.0,34.0,64.2,45.0
19490223,72.0,34.0,64.5,45.2
19490224,71.0,42.0,64.8,45.5
19490225,64.0,38.0,65.1,45.7
19490226,63.0,35.0,65.4,45.9
19490227,52.0,40.0,65.7,46.2
19490228,54.0,35.0,66.0,46.4
19490301,58.0,34.0,66.3,46.6
19490302,61.0,37.0,66.6,46.8
19490303,68.0,37.0,66.9,47.0
19490304,69.0,42.0,67.2,47.3
19490305,64.0,42.0,67.5,47.5
19490306,64.0,35.0,67.7,47.7
19490307,63.0,42.0,68.0,47.9
19490308,63.0,40.0,68.3,48.1
19490309,66.0,36.0,68.6,48.3
19490310,70.0,42.0,68.9,48.4
19490311,65.0,47.0,69.1,48.6
19490312,67.0,35.0,69.4,48.8
19490313,69.0,37.0,69.7,49.0
19490314,71.0,38.0,69.9,49.1
19490315,74.0,46.0,70.2,49.3
19490316,73.0,52.0,70.4,49.5
19490317,75.0,41.0,70.7,49.6
19490318,76.0,43.0,70.9,49.8
19490319,80.0,43.0,71.2,50.0
19490320,68.0,49.0,71.4,50.1
19490321,71.0,41.0,71.6,50.3
19490322,68.0,48.0,71.9,50.4
19490323,56.0,40.0,72.1,50.6
19490324,60.0,36.0,72.3,50.7
19490325,64.0,37.0,72.6,50.9
19490326,69.0,45.0,72.8,51.1
19490327,79.0,44.0,73.0,51.2
19490328,59.0,43.0,73.2,51.4
19490329,60.0,39.0,73.5,51.6
19490330,67.0,34.0,73.7,51.8
19490331,48.0,35.0,73.9,52.0
19490401,60.0,38.0,74.2,52.2
19490402,64.0,39.0,74.4,52.4
19490403,70.0,41.0,74.6,52.6
19490404,75.0,43.0,74.9,52.8
19490405,82.0,43.0,75.1,53.0
19490406,80.0,55.0,75.4,53.3
19490407,74.0,51.0,75.6,53.5
19490408,75.0,45.0,75.9,53.7
19490409,78.0,51.0,76.2,54.0
19490410,81.0,45.0,76.5,54.3
19490411,84.0,46.0,76.7,54.5
19490412,87.0,47.0,77.0,54.8
19490413,82.0,57.0,77.3,55.1
19490414,83.0,46.0,77.6,55.4
19490415,81.0,52.0,77.9,55.7
19490416,87.0,55.0,78.2,56.0
19490417,77.0,52.0,78.6,56.3
19490418,82.0,49.0,78.9,56.7
19490419,81.0,51.0,79.2,57.0
19490420,85.0,48.0,79.6,57.3
19490421,88.0,61.0,79.9,57.7
19490422,96.0,57.0,80.3,58.0
19490423,98.0,56.0,80.6,58.4
19490424,97.0,71.0,81.0,58.7
19490425,88.0,63.0,81.3,59.1
19490426,91.0,55.0,81.7,59.4
19490427,92.0,60.0,82.1,59.8
19490428,92.0,56.0,82.4,60.1
19490429,84.0,61.0,82.8,60.5
19490430,82.0,56.0,83.2,60.8
19490501,90.0,50.0,83.5,61.2
19490502,90.0,61.0,83.9,61.5
19490503,83.0,62.0,84.3,61.8
19490504,82.0,52.0,84.7,62.2
19490505,77.0,52.0,85.0,62.5
19490506,80.0,57.0,85.4,62.8
19490507,85.0,50.0,85.8,63.2
19490508,91.0,59.0,86.1,63.5
19490509,78.0,55.0,86.5,63.8
19490510,80.0,50.0,86.9,64.1
19490511,81.0,58.0,87.2,64.4
19490512,89.0,55.0,87.6,64.7
19490513,93.0,60.0,88.0,65.1
19490514,79.0,59.0,88.3,65.3
19490515,75.0,55.0,88.7,65.6
19490516,75.0,56.0,89.0,65.9
19490517,74.0,58.0,89.3,66.2
19490518,72.0,55.0,89.7,66.5
19490519,74.0,51.0,90.0,66.8
19490520,78.0,46.0,90.4,67.1
19490521,84.0,52.0,90.7,67.3
19490522,89.0,56.0,91.0,67.6
19490523,97.0,59.0,91.4,67.9
19490524,100.0,61.0,91.7,68.1
19490525,101.0,60.0,92.0,68.4
19490526,99.0,69.0,92.3,68.7
19490527,100.0,64.0,92.7,68.9
19490528,87.0,67.0,93.0,69.2
19490529,82.0,60.0,93.3,69.5
19490530,81.0,60.0,93.6,69.8
19490531,84.0,56.0,93.9,70.0
